,AAPL,AMZN,ATT,AUD,BOND,EUR,GE,GOLD,INTC,SILVER,SPY
2000-09-26,0.918527,1.9875,36.489803,0.5495,831.5870354,0.8828,446.153839,274.35,43.3125,4.91,142.40625
2000-09-27,0.873884,1.89375,35.828926,0.5505,830.9288534,0.8834,457.211548,278.58,43.875,4.94,143.15625
2000-09-28,0.955357,2.0,37.528324,0.5438,831.352226,0.8791,453.846161,275.25,44.4375,4.93,145.0
2000-09-29,0.459821,1.921875,37.669941,0.5428,832.4745353,0.8828,444.711548,274.25,41.5625,4.87,143.625
2000-10-02,0.433036,1.79375,37.811558,0.5461,831.8723749,0.8773,450.0,273.45,40.125,4.88,143.84375
2000-10-03,0.398438,1.753125,37.717144,0.5406,830.7578594,0.8757,454.326935,272.25,40.3125,4.89,142.5
2000-10-04,0.421875,1.8,39.086102,0.5375,829.7833973,0.8746,452.884613,270.75,42.0,4.86,143.6875
2000-10-05,0.393973,1.678125,40.455059,0.5298,830.7748082,0.8691,459.615387,269.65,41.0,4.87,144.1875
2000-10-06,0.396205,1.578125,40.266239,0.5338,831.6727787,0.8684,457.211548,269.65,39.9375,4.87,141.0625
2000-10-10,0.372768,1.521875,38.472431,0.5343,832.2445213,0.8716,446.634613,272.75,37.5625,4.895,137.6875
2000-10-11,0.350446,1.390625,37.103474,0.5329,832.7509035,0.8683,435.576935,271.15,35.375,4.86,136.53125
2000-10-12,0.357143,1.25625,37.669941,0.5306,834.4302426,0.863,419.230774,276.55,37.125,4.905,133.125
2000-10-13,0.393973,1.421875,37.858761,0.5285,834.2286459,0.856,438.461548,272.65,40.375,4.865,137.5625
2000-10-16,0.383929,1.215625,38.330814,0.5224,833.7385472,0.8498,444.230774,272.0,35.6875,4.86,138.1875
2000-10-17,0.359375,1.096875,39.605362,0.521,835.919537,0.8543,427.884613,271.25,36.1875,4.84,134.75
2000-10-18,0.359375,1.25625,39.794186,0.5215,835.7084604,0.8389,426.923065,270.65,38.1875,4.84,134.25
2000-10-19,0.33817,1.3875,39.322128,0.5215,836.7720579,0.8436,427.884613,270.8,41.9375,4.83,139.3125
2000-10-20,0.348214,1.540625,38.330814,0.5291,838.0772049,0.8421,400.961548,271.55,43.0625,4.83,139.90625
2000-10-23,0.363839,1.5,40.87991,0.5262,840.3120917,0.8354,382.692322,270.25,43.3125,4.785,140.53125
2000-10-24,0.337054,1.478125,40.69109,0.5242,839.4215521,0.8359,410.576935,270.65,42.0,4.79,139.59375
2000-10-25,0.330357,1.59375,41.39917,0.5202,837.5362945,0.8272,407.211548,266.75,41.3125,4.76,136.3125
2000-10-26,0.330357,1.84375,41.115936,0.5217,837.4738254,0.8303,400.961548,265.15,44.6875,4.73,136.6875
2000-10-27,0.331473,1.78125,42.532101,0.5235,836.4910535,0.8393,401.923065,264.55,46.375,4.75,139.28125
2000-10-30,0.344866,1.64375,43.901058,0.5224,836.3636534,0.8411,415.384613,264.5,45.0,4.74,140.53125
2000-10-31,0.34933,1.83125,43.570618,0.5185,835.5020961,0.8489,421.634613,265.15,45.0,4.74,142.953125
2000-11-01,0.366071,1.86875,42.343277,0.5251,836.8336918,0.8612,418.75,264.8,44.875,4.76,142.46875
2000-11-02,0.398438,1.9875,42.296074,0.5214,837.2915645,0.8584,412.980774,264.75,46.6875,4.71,142.703125
2000-11-03,0.397321,1.878125,43.192978,0.5263,834.3493572,0.8666,410.096161,265.15,45.9375,4.74,142.78125
2000-11-06,0.382813,1.828125,42.720921,0.5275,833.4977923,0.8625,419.230774,265.05,46.5625,4.75,143.78125
2000-11-07,0.38058,1.846875,43.098564,0.5288,833.5286985,0.86,422.596161,264.45,46.1875,4.72,143.75
2000-11-08,0.358259,1.69375,43.334591,0.5268,833.9309995,0.8555,419.711548,265.05,42.6875,4.73,140.5625
2000-11-09,0.360491,1.5625,43.523415,0.5274,835.4472733,0.8666,419.711548,265.95,41.375,4.74,140.03125
2000-11-10,0.340402,1.503125,43.145771,0.5194,835.431427,0.8596,414.423065,264.75,37.0,4.685,136.625
2000-11-13,0.345982,1.390625,43.806648,0.5199,837.0398432,0.8571,395.673065,264.35,38.1875,4.67,135.5625
2000-11-14,0.361607,1.446875,43.287388,0.5193,837.5805588,0.8576,405.769226,264.65,40.9375,4.67,139.125
2000-11-15,0.354911,1.475,43.287388,0.5208,838.8170262,0.8575,403.846161,265.0,41.5,4.67,139.5625
2000-11-16,0.339286,1.390625,43.853851,0.5207,839.839742,0.8532,404.807678,266.5,40.0,4.66,137.375
2000-11-17,0.330357,1.371875,42.296074,0.5188,838.487412,0.8478,399.038452,265.75,41.5,4.65,136.640625
2000-11-20,0.33817,1.290625,43.051361,0.5141,838.8977008,0.8514,385.096161,266.35,41.125,4.64,134.6875
2000-11-21,0.335938,1.2125,43.004154,0.5094,838.992551,0.844,390.384613,265.85,42.625,4.63,135.375
2000-11-22,0.330357,1.259375,44.184292,0.5261,841.386913,0.8457,373.557678,266.55,41.1875,4.63,132.140625
2000-11-24,0.344866,1.446875,42.862537,0.5235,840.5449712,0.838,379.807678,266.35,43.9375,4.615,134.84375
2000-11-27,0.333705,1.4,41.871223,0.5256,840.5097214,0.8529,377.884613,270.0,43.9375,4.7,136.03125
2000-11-28,0.321987,1.251563,42.10725,0.5224,841.8183936,0.8559,383.173065,269.6,42.03125,4.7,133.6875
